QueryId,EntityId
2,0366601
2,3572540
2,0758546
2,2508826
2,1850915
2,2508842
2,1139430
2,2508807
2,1196304
2,3576393
2,0430538
2,0481606
2,2508806
2,0430530
2,4058548
2,2367833
2,3651053
2,3957054
2,1942183
2,0846792
2,2496309
2,0430448
2,1862418
2,2798170
2,0400496
2,3576510
2,1255621
2,0837572
2,1024568
2,2896512
2,3651172
2,3149819
2,3576756
2,2612362
2,3494659
2,3262732
2,3877176
2,3402382
2,1828935
2,4287776
2,0551044
2,3674979
2,0558157
2,3592977
2,2800893
2,3886015
2,3192913
2,3674981
2,0558041
2,0946959
2,0955969
2,1989301
2,0938252
2,3682356
2,0837634
2,0430575
2,4355929
2,3576520
2,2869391
2,3576754
2,3672076
2,0956021
2,2544424
2,4406241
2,3894686
2,0989306
2,1862797
2,3890177
2,0332228
2,0558079
2,0937135
2,0837570
2,0558174
2,0937465
2,2509109
2,0837543
2,2958933
2,3893962
2,1016953
2,0430488
2,0430423
2,3671471
2,2255803
2,4503901
2,3670585
2,1216465
2,1057028
2,3673715
2,4196645
2,2496333
2,1027855
2,1863047
2,3305322
2,3891652
2,0837695
2,3785823
2,1992343
2,0401111
2,3721407
2,3889871
4,1842323
4,0573230
4,2198673
4,0759613
4,3248690
4,3066121
4,1976741
4,0569665
4,3463060
4,0708945
4,3139815
4,3125581
4,0563289
4,1658568
4,0720378
4,2684843
4,3138240
4,3066143
4,3138181
4,3899932
4,2946833
4,3138698
4,3145670
4,3066124
4,3726763
4,3138304
4,1841606
4,0569628
4,3139368
4,3138806
4,1431282
4,3140029
4,3138439
4,0183880
4,3066100
4,3989908
4,2583077
4,2658455
4,3138157
4,0569666
4,4344772
4,3139175
4,0088176
4,3138418
4,3433221
4,0676479
4,0564284
4,2792527
4,3139408
4,4627023
4,3139014
4,0733960
4,0183269
4,3066141
4,0567187
4,3726582
4,1048236
4,0352183
4,3148905
4,0573225
4,3138925
4,3139755
4,3138463
4,3138975
4,1534347
4,4163834
4,0186149
4,3138238
4,1253745
4,3139409
4,0589404
4,4558165
4,3138576
4,3647145
4,3138808
4,3139891
4,0189285
4,2266578
4,4500132
4,3461656
4,4152016
4,2754760
4,3053326
4,3591707
4,3726572
4,3570459
4,2132349
4,3146219
4,2408022
4,0574256
4,0186648
4,4618186
4,1300992
4,3138573
4,0564663
4,0181965
4,4558722
4,0564120
4,3139904
4,1534294
6,1078101
6,4116692
6,0352183
6,3139368
6,1078109
6,3066143
6,2792527
6,3170461
6,1731480
6,1976741
6,4116694
6,3053326
6,0185097
6,3546074
6,1836697
6,2172567
6,3595843
6,4143295
6,3174598
6,3066138
6,0183269
6,4271332
6,1078107
6,1412944
6,3425718
6,2177465
6,1078103
6,2128341
6,1078102
6,4474551
6,3472545
6,4350778
6,4455610
6,3489358
6,1078097
6,3148905
6,0183880
6,1078100
6,0169660
6,2547065
6,2547066
6,2547067
6,1078104
6,2427684
6,3146219
6,0184372
6,3551203
6,3463059
6,0812701
6,0184397
6,2805614
6,1064995
6,3066124
6,1816331
6,3461656
6,1932036
6,0507224
6,0812268
6,3301454
6,4300426
6,2132349
6,3645738
6,0985753
6,1047008
6,1174226
6,3645633
6,2464214
6,1078110
6,0563289
6,0615428
6,0911634
6,2408105
6,2547064
6,0006348
6,4104929
6,0288084
6,1800431
6,0629808
6,2384721
6,2547072
6,3248690
6,3989908
6,0184382
6,0183315
6,3990433
6,0796098
6,4629182
6,0875711
6,4446952
6,4521677
6,3358839
6,0184404
6,4109875
6,1976791
6,3125581
6,0172377
6,2384725
6,2146740
6,1046507
6,2893208
8,1309851
8,4404730
8,1372011
8,2447580
8,2718310
8,1309864
8,2478701
8,1309863
8,1309861
8,1309852
8,1042535
8,4381520
8,1309855
8,2553621
8,1309862
8,1720839
8,1309856
8,3281489
8,1309858
8,0297212
8,3344742
8,3830178
8,1309860
8,1309850
8,1309854
8,1309857
8,1720838
8,2434018
8,2608707
8,2590165
8,0207533
8,3625295
8,1647361
8,4119015
8,1309849
8,4235340
8,4130373
8,1309859
8,4094450
8,1431569
8,1812298
8,2320482
8,0659027
8,1838869
8,1309853
8,2077371
8,3195095
8,4226862
8,0657929
8,3023726
8,4210637
8,2914614
8,3128473
8,3211351
8,1014323
8,1309865
8,3344549
8,2072014
8,4275110
8,3448209
8,0713933
8,0804471
8,1269389
8,1914670
8,1932543
8,1559497
8,1453566
8,0261367
8,3220153
8,3344840
8,0969484
8,1503770
8,3142314
8,4384607
8,3185075
8,3696367
8,4010057
8,0591625
8,2917909
8,1207785
8,1910111
8,1203006
8,2936607
8,3326283
8,3686430
8,4260588
8,4427039
8,0191245
8,0875392
8,0994225
8,1402876
8,2071621
8,2594270
8,3133622
8,3527525
8,0737080
8,0753732
8,1180743
8,1842945
8,1854032
11,2547857
11,2208028
11,3445794
11,1487723
11,0866808
11,1952708
11,1487739
11,3945186
11,3203444
11,3188994
11,3149769
11,2483780
11,1178674
11,3407309
11,3680941
11,0333853
11,4351441
11,2220435
11,3406125
11,4351445
11,3202001
11,0619150
11,0680829
11,2733919
11,1064377
11,1746596
11,0210613
11,0909868
11,1147476
11,0859278
11,4033854
11,0618053
11,0677503
11,0676301
11,0903038
11,1148813
11,3199412
11,1231975
11,1436245
11,3749776
11,1953071
11,3636117
11,0390776
11,2862902
11,0619529
11,2742526
11,4259043
11,0333844
11,4377555
11,2733921
11,2285418
11,1770443
11,4399555
11,0618219
11,0199845
11,2862531
11,2882186
11,0560684
11,3751423
11,2678100
11,4407025
11,1839923
11,1086678
11,3535026
11,3405900
11,1931321
11,0296099
11,0678769
11,1084198
11,2283753
11,2615720
11,4246461
11,3664889
11,1487740
11,3399379
11,1654886
11,3409045
11,4607309
11,2646251
11,0938891
11,3262225
11,2195748
11,3759677
11,0808390
11,0912958
11,2483727
11,3636118
11,0463533
11,4068538
11,4190990
11,1952916
11,2323931
11,3690926
11,3318279
11,0718943
11,2319537
11,3049974
11,1188922
11,1851091
11,3173247
12,0412758
12,4261227
12,2003958
12,2990203
12,2141772
12,0326785
12,0358512
12,2821299
12,4041364
12,1543172
12,2147547
12,4533894
12,1326736
12,4285714
12,1680347
12,1879402
12,1835069
12,2105996
12,1879404
12,0445462
12,2457662
12,0641548
12,3228143
12,1510034
12,1099787
12,2932562
12,2932499
12,3267998
12,0582746
12,2933060
12,1482331
12,3612692
12,4298253
12,2936354
12,2625459
12,0581681
12,2936397
12,1759198
12,3068315
12,4007854
12,2397984
12,3764294
12,4517718
12,2932181
12,2633103
12,0853694
12,3279895
12,4188119
12,2332728
12,2400903
12,3976265
12,2838808
12,2457661
12,3866246
12,3858357
12,3858358
12,2399501
12,1468722
12,4122700
12,2135128
12,1514467
12,1605154
12,0517442
12,2419612
12,2127884
12,1232665
12,1339218
12,4044174
12,4079569
12,0269677
12,1519713
12,4418764
12,0815926
12,2854012
12,2053566
12,2746851
12,4392959
12,3716391
12,4074452
12,3924218
12,0940121
12,0410776
12,3789400
12,2616706
12,1319193
12,1344911
12,1572420
12,2933037
12,4440247
12,4461066
12,0789975
12,3966003
12,1277948
12,0886069
12,0775462
12,1641659
12,1935014
12,1135944
12,2170732
12,4233404
14,1084409
14,3071062
14,1323471
14,4186953
14,1709780
14,3915072
14,0498649
14,1064209
14,0588228
14,1323480
14,1589163
14,3859074
14,1323399
14,2450900
14,1323610
14,1994415
14,1968895
14,3086294
14,3708481
14,2516597
14,2673922
14,2457424
14,1701395
14,4414166
14,3496130
14,0408345
14,1323374
14,1323409
14,3329315
14,2465985
14,4243480
14,1323395
14,1853480
14,0612449
14,2572166
14,3844107
14,2516596
14,3265745
14,0745484
14,1694662
14,1323581
14,4156654
14,1323431
14,0562851
14,1791981
14,1323338
14,1323570
14,1902764
14,3170198
14,1323314
14,1323604
14,2333596
14,1323571
14,1323593
14,1199061
14,3774389
14,4414163
14,3496065
14,1352089
14,4627616
14,1968661
14,1352096
14,2502755
14,1015308
14,1902138
14,3329322
14,3496121
14,1351853
14,0801715
14,2633008
14,1544515
14,1323386
14,1323506
14,0932240
14,0654567
14,2651346
14,0562737
14,1323595
14,3087414
14,3220481
14,1341544
14,1198824
14,1323594
14,2802449
14,4528560
14,1323385
14,1031500
14,1052539
14,1323881
14,1694663
14,2571910
14,2905500
14,3442313
14,4317806
14,1201069
14,1323359
14,2818943
14,1549440
14,1358669
14,3442567
16,2521500
16,3973932
16,4091131
16,2483031
16,2515243
16,2552082
16,2499922
16,2552085
16,0380303
16,2470256
16,2552211
16,2530949
16,2522530
16,2536939
16,2494043
16,2554139
16,4393323
16,2469920
16,2470321
16,1641538
16,1128075
16,1659976
16,2552100
16,2552070
16,2552078
16,2552094
16,2552096
16,2552097
16,2472735
16,2552105
16,1401024
16,2523061
16,1346252
16,2552098
16,2552080
16,2552081
16,2552092
16,1991087
16,1659515
16,2552095
16,4073766
16,4138193
16,2552072
16,2552093
16,2499694
16,2509729
16,4367696
16,2552101
16,2552111
16,2507223
16,2552099
16,2552107
16,2557959
16,2552104
16,2507281
16,2552076
16,2552074
16,2552079
16,2552084
16,3804829
16,2540523
16,2500060
16,2552110
16,2552115
16,2552083
16,2552118
16,2515180
16,2521423
16,2481763
16,2552087
16,2552102
16,2552108
16,1660089
16,2486445
16,2519048
16,2552073
16,2127046
16,1319517
16,2481075
16,3586388
16,1635853
16,2117274
16,2688296
16,2506745
16,2818097
16,3973931
16,2552071
16,2552075
16,2552077
16,2552116
16,4357383
16,2552103
16,2552086
16,2552088
16,2552091
16,3851555
16,2755257
16,4529558
16,0195574
16,0349938
20,3948269
20,3504251
20,2987404
20,3340551
20,1000089
20,2600791
20,1759294
20,0342052
20,3410997
20,3916931
20,3874225
20,1410859
20,1436701
20,3205725
20,1285988
20,1213331
20,4461199
20,4233791
20,1004341
20,3501944
20,4404859
20,3169000
20,4369955
20,3826884
20,4243395
20,1010810
20,2523105
20,3107813
20,3383764
20,0519111
20,0891352
20,2366845
20,3524866
20,4360212
20,4378634
20,0800491
20,1477954
20,3875508
20,3948266
20,0337405
20,0840423
20,1329772
20,1358669
20,2915243
20,3261684
20,4292608
20,3958427
